Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/20/2026 23:13:50,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,13.859375
07/20/2026 23:13:50,System.Runtime,dotnet.process.memory.working_set (By),Metric,328683520
07/20/2026 23:13:50,System.Runtime,dotnet.thread_pool.thread.count ({thread}),Metric,4
07/20/2026 23:13:50,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 23:13:50,System.Runtime,dotnet.assembly.count ({assembly}),Metric,112
07/20/2026 23:13:50,System.Runtime,dotnet.thread_pool.queue.length ({work_item}),Metric,0
07/20/2026 23:13:50,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
07/20/2026 23:13:50,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
07/20/2026 23:13:50,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
07/20/2026 23:13:50,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,78136
07/20/2026 23:13:50,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,10
07/20/2026 23:13:50,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,189
07/20/2026 23:13:50,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,3913640
07/20/2026 23:13:50,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,18832504
07/20/2026 23:13:50,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,24528
07/20/2026 23:13:50,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:13:50,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,7820576
07/20/2026 23:13:50,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 23:13:51,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.005698799999999782
07/20/2026 23:13:51,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,1466384
07/20/2026 23:13:51,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,2854072
07/20/2026 23:13:51,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:13:51,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:13:51,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,430008
07/20/2026 23:13:51,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
07/20/2026 23:13:51,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,5
07/20/2026 23:13:51,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,52801536
07/20/2026 23:13:51,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,1629
