Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/20/2026 23:10:28,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.023018099999999986
07/20/2026 23:10:28,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 23:10:28,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.thread_pool.thread.count ({thread}),Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.assembly.count ({assembly}),Metric,17
07/20/2026 23:10:28,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,16400
07/20/2026 23:10:28,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
07/20/2026 23:10:28,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,1
07/20/2026 23:10:28,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.015625
07/20/2026 23:10:28,LXRGC.Bench,operations (Count / 1 sec),Rate,1274
07/20/2026 23:10:28,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,6809
07/20/2026 23:10:28,System.Runtime,dotnet.thread_pool.queue.length ({work_item}),Metric,0
07/20/2026 23:10:28,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
07/20/2026 23:10:28,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
07/20/2026 23:10:29,System.Runtime,dotnet.process.memory.working_set (By),Metric,35536896
07/20/2026 23:10:29,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,127
07/20/2026 23:10:29,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.04463500000000001
07/20/2026 23:10:29,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 23:10:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:10:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:10:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 23:10:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 23:10:29,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 23:10:29,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 23:10:29,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,0
07/20/2026 23:10:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:10:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:10:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 23:10:29,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
